name,fisher_first_order_mode,report_path,final_top1,final_accuracy_change,achieved_compression,target_compression
mean_abs,mean_abs,./experiments/ablations_fast/results/stage2_first_order\mean_abs\r50_80pr_1ft\complete_pruning_report.txt,42.46,-33.64,80.0,80.0
abs_mean,abs_mean,./experiments/ablations_fast/results/stage2_first_order\abs_mean\r50_80pr_1ft\complete_pruning_report.txt,35.54,-40.56,80.0,80.0
