Batches,Layer,Method,Kendall_Tau,Spearman,Top30_Overlap_Pct
10,layer1.0.conv1,Hessian Full,1.0,0.9999999999999998,100.0
10,layer1.0.conv1,Hessian Diag,1.0,0.9999999999999998,100.0
10,layer1.0.conv1,Fisher Full,1.0,0.9999999999999998,100.0
10,layer1.0.conv1,Fisher Diag,0.9404761904761904,0.9927197802197801,94.73684210526315
10,layer1.0.conv1,Taylor 1st-order,0.9404761904761904,0.9927197802197801,94.73684210526315
10,layer1.0.conv1,Gradient Magnitude,0.673611111111111,0.8353479853479853,89.47368421052632
10,layer1.0.conv1,Magnitude (Sigma),0.9027777777777778,0.9821886446886448,100.0
10,layer1.0.conv1,Energy (Sigma^2),0.9027777777777778,0.9821886446886448,100.0
10,layer1.0.conv1,True Loss Increase,0.5549495024702529,0.7002061094962566,89.47368421052632
10,layer1.0.conv2,Hessian Full,1.0,0.9999999999999998,100.0
10,layer1.0.conv2,Hessian Diag,1.0,0.9999999999999998,100.0
10,layer1.0.conv2,Fisher Full,1.0,0.9999999999999998,100.0
10,layer1.0.conv2,Fisher Diag,0.9255952380952381,0.9904761904761904,94.73684210526315
10,layer1.0.conv2,Taylor 1st-order,0.9246031746031745,0.9902930402930401,94.73684210526315
10,layer1.0.conv2,Gradient Magnitude,0.7063492063492063,0.8913003663003664,84.21052631578947
10,layer1.0.conv2,Magnitude (Sigma),0.865079365079365,0.9712912087912088,94.73684210526315
10,layer1.0.conv2,Energy (Sigma^2),0.865079365079365,0.9712912087912088,94.73684210526315
10,layer1.0.conv2,True Loss Increase,0.5137752727319295,0.7025962734596737,94.73684210526315
10,layer1.0.conv3,Hessian Full,1.0,0.9999999999999998,100.0
10,layer1.0.conv3,Hessian Diag,1.0,0.9999999999999998,100.0
10,layer1.0.conv3,Fisher Full,1.0,0.9999999999999998,100.0
10,layer1.0.conv3,Fisher Diag,0.9325396825396824,0.9911172161172159,94.73684210526315
10,layer1.0.conv3,Taylor 1st-order,0.9325396825396824,0.9911172161172159,94.73684210526315
10,layer1.0.conv3,Gradient Magnitude,0.7142857142857142,0.885164835164835,78.94736842105263
10,layer1.0.conv3,Magnitude (Sigma),0.8561507936507935,0.9709706959706959,94.73684210526315
